"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Rwanda","Male","55","55.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Senegal","Female","49","49.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Senegal","Both sexes","49","49.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Senegal","Male","54","54.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Singapore","Male","74","74.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Singapore","Female","77","77.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Solomon Islands","Both sexes","59","59.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Sierra Leone","Male","33","33.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Lower-middle-income","El Salvador","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","San Marino","Female","73","73.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Serbia","Male","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Serbia","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Low-income","South Sudan","Male","47","47.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Suriname","Male","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Suriname","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Slovakia","Both sexes","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Sweden","Female","72","72.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Lower-middle-income","Swaziland","Female","42","42.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Upper-middle-income","Seychelles","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Male","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Both sexes","59","59.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Chad","Male","39","39.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Chad","Both sexes","40","40.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Togo","Female","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Low-income","Tajikistan","Male","55","55.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Low-income","Tajikistan","Female","57","57.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Lower-middle-income","Turkmenistan","Male","52","52.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Tonga","Both sexes","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Tunisia","Male","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Uganda","Male","49","49.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Ukraine","Female","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Uruguay","Male","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","High-income","United States of America","Female","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","High-income","United States of America","Both sexes","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","High-income","United States of America","Male","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Low-income","Uzbekistan","Female","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","Female","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","Male","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Low-income","Viet Nam","Both sexes","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Vanuatu","Female","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Vanuatu","Both sexes","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Samoa","Female","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Low-income","Yemen","Female","55","55.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Upper-middle-income","South Africa","Female","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Zimbabwe","Male","37","37.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Solomon Islands","Both sexes","65","65.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Lower-middle-income","Solomon Islands","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Lower-middle-income","Solomon Islands","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Lower-middle-income","El Salvador","Male","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Lower-middle-income","El Salvador","Female","23","23.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","El Salvador","Both sexes","19","19.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Sao Tome and Principe","Male","65","65.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Swaziland","Male","48","48.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Lower-middle-income","Swaziland","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Swaziland","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Both sexes","70","70.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Female","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Both sexes","19","19.00000","","",""
"Life expectancy at birth (years)","Published","1990","South-East Asia","Lower-middle-income","Thailand","Both sexes","69","69.00000","","",""
"Life expectancy at birth (years)","Published","2000","South-East Asia","Lower-middle-income","Thailand","Both sexes","70","70.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","South-East Asia","Lower-middle-income","Thailand","Female","19","19.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Lower-middle-income","Turkmenistan","Female","65","65.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Lower-middle-income","Turkmenistan","Male","14","14.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Lower-middle-income","Turkmenistan","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Lower-middle-income","Turkmenistan","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Lower-middle-income","Turkmenistan","Female","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","South-East Asia","Lower-middle-income","Timor-Leste","Male","48","48.00000","","",""
"Life expectancy at birth (years)","Published","2012","South-East Asia","Lower-middle-income","Timor-Leste","Male","65","65.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","South-East Asia","Lower-middle-income","Timor-Leste","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","Tonga","Male","14","14.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","Lower-middle-income","Tunisia","Both sexes","70","70.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Tunisia","Both sexes","73","73.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Tunisia","Female","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Lower-middle-income","Ukraine","Female","73","73.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Lower-middle-income","Ukraine","Both sexes","70","70.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Lower-middle-income","Ukraine","Female","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Vanuatu","Male","70","70.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Lower-middle-income","Vanuatu","Female","67","67.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","Vanuatu","Male","15","15.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Lower-middle-income","Samoa","Male","63","63.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Samoa","Male","67","67.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","Samoa","Male","14","14.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Argentina","Both sexes","73","73.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Argentina","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Argentina","Both sexes","20","20.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Upper-middle-income","Bulgaria","Female","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Bulgaria","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Upper-middle-income","Bulgaria","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Bosnia and Herzegovina","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Upper-middle-income","Bosnia and Herzegovina","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","Bosnia and Herzegovina","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Upper-middle-income","Belarus","Both sexes","69","69.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Belarus","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Brazil","Female","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Brazil","Both sexes","71","71.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Brazil","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Brazil","Female","21","21.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Upper-middle-income","Botswana","Female","66","66.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Upper-middle-income","Botswana","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Upper-middle-income","Botswana","Female","17","17.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Chile","Male","69","69.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Chile","Male","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Chile","Male","77","77.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Chile","Female","76","76.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Chile","Both sexes","80","80.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Chile","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Chile","Male","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Colombia","Male","69","69.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Colombia","Both sexes","71","71.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Colombia","Both sexes","79","79.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Colombia","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Colombia","Both sexes","22","22.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Costa Rica","Both sexes","77","77.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Costa Rica","Both sexes","77","77.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Costa Rica","Female","25","25.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Costa Rica","Both sexes","22","22.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Cuba","Female","76","76.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Dominica","Male","72","72.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Dominica","Female","76","76.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Dominica","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Dominica","Male","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Dominica","Male","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Dominica","Female","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Dominica","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Dominican Republic","Both sexes","77","77.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Dominican Republic","Male","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Dominican Republic","Both sexes","23","23.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Upper-middle-income","Algeria","Male","66","66.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Upper-middle-income","Algeria","Both sexes","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Upper-middle-income","Fiji","Female","70","70.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Upper-middle-income","Fiji","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Upper-middle-income","Fiji","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Grenada","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Upper-middle-income","Kazakhstan","Female","68","68.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Upper-middle-income","Kazakhstan","Both sexes","63","63.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Kazakhstan","Both sexes","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Saint Kitts and Nevis","Male","71","71.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Saint Kitts and Nevis","Female","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Saint Kitts and Nevis","Female","78","78.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Saint Kitts and Nevis","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Saint Kitts and Nevis","Female","19","19.00000","","",""
"Life expectancy at birth (years)","Published","2012","Eastern Mediterranean","Upper-middle-income","Lebanon","Male","78","78.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Upper-middle-income","Lebanon","Male","21","21.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Upper-middle-income","Libya","Male","70","70.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Upper-middle-income","Libya","Both sexes","72","72.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Eastern Mediterranean","Upper-middle-income","Libya","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Upper-middle-income","Libya","Both sexes","18","18.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Saint Lucia","Female","79","79.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Saint Lucia","Female","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Saint Lucia","Female","23","23.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Saint Lucia","Both sexes","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Saint Lucia","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Upper-middle-income","Lithuania","Female","78","78.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","Upper-middle-income","Lithuania","Female","80","80.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Lithuania","Female","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Upper-middle-income","Lithuania","Female","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","Lithuania","Female","23","23.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Upper-middle-income","Latvia","Male","64","64.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Mexico","Male","68","68.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Mexico","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","Upper-middle-income","The former Yugoslav republic of Macedonia","Female","78","78.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","The former Yugoslav republic of Macedonia","Female","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","Upper-middle-income","Montenegro","Female","78","78.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Upper-middle-income","Montenegro","Both sexes","76","76.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","Montenegro","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Montenegro","Female","23","23.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Upper-middle-income","Mauritius","Male","68","68.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Upper-middle-income","Mauritius","Female","74","74.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Upper-middle-income","Mauritius","Female","19","19.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Upper-middle-income","Malaysia","Male","68","68.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Upper-middle-income","Malaysia","Male","69","69.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Upper-middle-income","Malaysia","Male","72","72.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Upper-middle-income","Malaysia","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Upper-middle-income","Malaysia","Both sexes","19","19.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Upper-middle-income","Namibia","Male","62","62.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Upper-middle-income","Namibia","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Panama","Female","25","25.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Panama","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Peru","Female","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Peru","Female","79","79.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Peru","Female","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Upper-middle-income","Palau","Both sexes","73","73.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Upper-middle-income","Palau","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Upper-middle-income","Palau","Both sexes","18","18.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Upper-middle-income","Poland","Male","67","67.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Poland","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Poland","Both sexes","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Upper-middle-income","Romania","Female","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Romania","Both sexes","18","18.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","Upper-middle-income","Russian Federation","Male","63","63.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","Russian Federation","Male","14","14.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Upper-middle-income","Serbia","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","Serbia","Male","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Suriname","Male","71","71.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Upper-middle-income","Suriname","Both sexes","74","74.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Suriname","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Suriname","Male","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Suriname","Both sexes","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Suriname","Both sexes","23","23.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Upper-middle-income","Seychelles","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Upper-middle-income","Turkey","Female","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","Turkey","Female","23","23.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Upper-middle-income","Tuvalu","Male","62","62.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Upper-middle-income","Tuvalu","Female","64","64.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Upper-middle-income","Tuvalu","Male","14","14.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Uruguay","Male","73","73.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Uruguay","Both sexes","77","77.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Saint Vincent and the Grenadines","Both sexes","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","Female","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","Female","22","22.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Upper-middle-income","South Africa","Female","66","66.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Upper-middle-income","South Africa","Female","62","62.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Upper-middle-income","South Africa","Male","13","13.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Upper-middle-income","South Africa","Male","14","14.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Upper-middle-income","South Africa","Female","18","18.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Lower-middle-income","Albania","Both sexes","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Albania","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Andorra","Male","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Andorra","Female","74","74.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","High-income","United Arab Emirates","Male","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Argentina","Female","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Argentina","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Lower-middle-income","Armenia","Both sexes","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Armenia","Male","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","High-income","Antigua and Barbuda","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Australia","Male","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Austria","Female","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Austria","Male","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Azerbaijan","Male","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Burundi","Male","40","40.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Burkina Faso","Female","51","51.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Bulgaria","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Bulgaria","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","High-income","Bahrain","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","High-income","Bahrain","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","High-income","Bahrain","Both sexes","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Bosnia and Herzegovina","Male","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Bosnia and Herzegovina","Female","68","68.00000","","",""
